
code_province,osm_id,osm_type,category_key,category_value,lat,lon,reason
MA-01-051,8662182881,node,amenity,pharmacy,35.2520695,-3.9342765,hors_polygone_commune_connu
MA-01-051,8662187025,node,amenity,pharmacy,35.2540108,-3.9347478,hors_polygone_commune_connu
MA-01-051,8662193567,node,amenity,pharmacy,35.2485148,-3.9347317,hors_polygone_commune_connu
MA-01-051,8662291493,node,amenity,pharmacy,35.2482915,-3.9317913,hors_polygone_commune_connu
MA-01-051,8662320139,node,amenity,pharmacy,35.2448372,-3.9337213,hors_polygone_commune_connu
MA-01-051,8662327688,node,amenity,pharmacy,35.2442961,-3.9353912,hors_polygone_commune_connu
MA-01-051,8825594218,node,tourism,viewpoint,35.2412065,-3.922108,hors_polygone_commune_connu
MA-01-051,8825594219,node,tourism,viewpoint,35.2424194,-3.9287356,hors_polygone_commune_connu
MA-01-051,8825618517,node,tourism,viewpoint,35.2410332,-3.9205174,hors_polygone_commune_connu
MA-01-051,8826194417,node,tourism,attraction,35.2296227,-3.9189111,hors_polygone_commune_connu
MA-01-051,8826982917,node,tourism,viewpoint,35.2615587,-3.9295352,hors_polygone_commune_connu
MA-01-051,8826986117,node,tourism,attraction,35.2367346,-3.9233752,hors_polygone_commune_connu
MA-01-051,9020701932,node,shop,hairdresser,35.2497282,-3.9345191,hors_polygone_commune_connu
MA-01-051,9854508417,node,tourism,viewpoint,35.2539116,-3.9285306,hors_polygone_commune_connu
MA-01-051,10147935017,node,tourism,hotel,35.245033,-3.9306214,hors_polygone_commune_connu
MA-01-051,10151372817,node,amenity,restaurant,35.2476572,-3.9243635,hors_polygone_commune_connu
MA-01-051,10212794558,node,amenity,shower,35.2120547,-3.904239,hors_polygone_commune_connu
MA-01-051,10212794559,node,amenity,toilets,35.2120547,-3.9041533,hors_polygone_commune_connu
MA-01-051,11097253405,node,shop,laundry,35.2447076,-3.9349974,hors_polygone_commune_connu
MA-01-051,11115030605,node,tourism,viewpoint,35.2178015,-3.9098613,hors_polygone_commune_connu
MA-01-051,11124782684,node,amenity,restaurant,35.2497753,-3.9243119,hors_polygone_commune_connu
MA-01-051,11148444605,node,tourism,attraction,35.2202997,-3.9141698,hors_polygone_commune_connu
MA-01-051,11211896238,node,leisure,fitness_centre,35.2203505,-3.9142658,hors_polygone_commune_connu
MA-01-051,11905267309,node,tourism,hotel,35.2335336,-3.9278648,hors_polygone_commune_connu
MA-01-051,11906773409,node,tourism,hotel,35.2335156,-3.9273189,hors_polygone_commune_connu
MA-01-051,11906786137,node,amenity,restaurant,35.2350079,-3.9233422,hors_polygone_commune_connu
MA-01-051,12846726229,node,amenity,hospital,35.2373441,-3.928308,hors_polygone_commune_connu
MA-01-051,13773563511,node,amenity,restaurant,35.2410258,-3.9308426,hors_polygone_commune_connu
MA-01-051,13789136802,node,amenity,place_of_worship,34.778734,-4.530664,hors_polygone_commune_connu
MA-01-051,13789137001,node,amenity,place_of_worship,34.77724,-4.527241,hors_polygone_commune_connu
MA-01-051,14015539330,node,amenity,school,34.7846803,-4.528122,hors_polygone_commune_connu
MA-01-051,14015541173,node,amenity,school,35.2554848,-3.9330377,hors_polygone_commune_connu
MA-01-051,14015541174,node,amenity,school,35.245584,-3.9320209,hors_polygone_commune_connu
MA-01-051,14015541177,node,amenity,school,35.252772,-3.9324193,hors_polygone_commune_connu
MA-01-051,14015541178,node,amenity,school,35.245703,-3.9327569,hors_polygone_commune_connu
MA-01-051,14015549750,node,amenity,school,35.2400485,-3.9347172,hors_polygone_commune_connu
MA-01-051,14015549751,node,amenity,school,35.2494313,-3.9334206,hors_polygone_commune_connu
MA-01-051,14015549752,node,amenity,school,35.2443837,-3.9353916,hors_polygone_commune_connu
MA-01-051,14015549753,node,amenity,school,35.242859,-3.9322767,hors_polygone_commune_connu
MA-01-051,14015549754,node,amenity,school,35.2388876,-3.93861,hors_polygone_commune_connu
MA-01-051,14015549778,node,amenity,school,35.249187,-3.9343749,hors_polygone_commune_connu
MA-01-051,14015549779,node,amenity,school,35.2427612,-3.9332463,hors_polygone_commune_connu
MA-01-051,14015549780,node,amenity,school,35.2416412,-3.9386864,hors_polygone_commune_connu
