element_category,osm_id,osm_type,code_province,commune_code,name,is_motorway,is_oncf,geom_type,geom_wkt,tags_json
route,602219922,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.9568927 35.2328777, -3.9566043 35.2329936, -3.9562127 35.2331552, -3.9557058 35.2333348, -3.9553544 35.2334586, -3.9550084 35.23359, -3.9545216 35.2337785, -3.9540575 35.2339472, -3.9537276 35.2340556, -3.953454 35.2341356, -3.9532167 35.2342057, -3.9530021 35.234255, -3.9527003 35.2343273, -3.9521036 35.2344598, -3.951657 35.2345212, -3.9513686 35.2345573, -3.9511589 35.2345544, -3.95095 35.2345423, -3.9506941 35.2345209, -3.9496879 35.2344343, -3.9493257 35.234416, -3.9490325 35.2344069, -3.9487319 35.2344069, -3.9485192 35.2344011, -3.9482821 35.234389, -3.9480077 35.2343678, -3.9477634 35.2343469, -3.9475692 35.234328, -3.9473356 35.2343235, -3.9470593 35.2343614, -3.9466371 35.2344658, -3.9463719 35.2345397, -3.9462044 35.2345747, -3.9460683 35.2345892, -3.945921 35.2345884, -3.9456833 35.2345786, -3.9455315 35.2345748, -3.9453964 35.2345792, -3.9452653 35.2345936, -3.9451155 35.2346202, -3.9449024 35.2346778, -3.9446978 35.2347543, -3.9444287 35.2348596, -3.9442347 35.234941)","{""highway"": ""tertiary"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""R605"", ""oneway"": ""no"", ""ref"": ""RP5209"", ""surface"": ""asphalt""}"
route,602267423,way,MA-01-051,,La Rocade Méditerranéenne الطريق الساحلية المتوسطية,False,False,LineString,"LINESTRING(-3.9112014 35.1936469, -3.9098057 35.193893, -3.9088805 35.1940797)","{""highway"": ""trunk"", ""lanes"": ""2"", ""lit"": ""yes, Automatic, 24/7"", ""maxspeed"": ""60"", ""name"": ""La Rocade Méditerranéenne الطريق الساحلية المتوسطية"", ""name:ar"": ""الطريق الساحلية المتوسطية"", ""name:fr"": ""La Rocade Méditerranéenne"", ""old_ref"": ""N2;N16"", ""oneway"": ""yes"", ""ref"": ""RN2;RN16"", ""surface"": ""asphalt""}"
route,602275728,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8421357 35.1146979, -3.8420485 35.1147121, -3.8419613 35.1147028, -3.8419003 35.1146798, -3.8418412 35.1146397)","{""highway"": ""trunk"", ""lanes"": ""1"", ""oneway"": ""yes"", ""surface"": ""asphalt""}"
route,602623297,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8202502 35.0221, -3.8201281 35.0220134, -3.8200346 35.0218888, -3.8199812 35.0217376, -3.8199912 35.0215752, -3.8200124 35.0214739, -3.820111 35.0212946, -3.8206509 35.0206971, -3.8207434 35.0206052, -3.8208108 35.0205201, -3.8208716 35.0204166)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""40"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623298,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8209249 35.0201413, -3.8208745 35.0200067, -3.8206965 35.0195762)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623299,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8205805 35.0195996, -3.8206257 35.0197345, -3.8207341 35.0200317, -3.8207312 35.0201623)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623300,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8227919 35.0323369, -3.8229002 35.0325184, -3.8229217 35.0326594, -3.822926 35.0327829, -3.8227592 35.0331111, -3.8226444 35.0332204, -3.822418 35.0334279, -3.821977 35.0338553, -3.8218189 35.0340999, -3.8217223 35.0344155, -3.8213384 35.0363179, -3.8211642 35.0373647, -3.8210884 35.0376546, -3.8211129 35.0378646, -3.8213046 35.0384558, -3.8213784 35.0387806, -3.8213361 35.0395837)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623302,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8246417 35.0454873, -3.8242453 35.0448279, -3.8238766 35.0443072, -3.8235507 35.043807, -3.82275 35.042599, -3.8220275 35.041478, -3.8215956 35.0408571, -3.8214104 35.0405213, -3.8213806 35.0402406, -3.8214302 35.0395797)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623306,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8268505 35.0808774, -3.8268691 35.0807368, -3.8268832 35.0806225, -3.8269742 35.0798501, -3.8270362 35.0791793, -3.8272285 35.0775225)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623309,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8272285 35.0775225, -3.8273111 35.0770155, -3.8274755 35.0749206, -3.8274945 35.0746826, -3.8276187 35.0731247, -3.8277186 35.071893, -3.827819 35.0708354, -3.8279361 35.06971, -3.8280611 35.0684968, -3.8281299 35.0675579, -3.8281758 35.0670235, -3.8282631 35.0659222, -3.8283268 35.0657568)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623313,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8270968 35.0777245, -3.8269055 35.079407, -3.8267884 35.0806192, -3.8267758 35.0807415, -3.8267537 35.08088)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602623314,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8281633 35.0657672, -3.8281765 35.0659226, -3.8279425 35.0684902, -3.8278558 35.0694416, -3.8275241 35.0731607, -3.8273946 35.0746892, -3.8272345 35.0764211, -3.8271815 35.076994, -3.8271743 35.0770991, -3.8270968 35.0777245)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
route,602684261,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8142078 34.965494, -3.8144451 34.9651433)","{""highway"": ""tertiary"", ""lanes"": ""1"", ""maxspeed"": ""60"", ""oneway"": ""yes"", ""ref"": ""RP5204"", ""surface"": ""asphalt""}"
route,602684262,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8144451 34.9651433, -3.8141309 34.9653891)","{""highway"": ""tertiary"", ""lanes"": ""1"", ""maxspeed"": ""60"", ""oneway"": ""yes"", ""ref"": ""RP5204"", ""surface"": ""asphalt""}"
route,602684271,way,MA-01-051,,,False,False,LineString,"LINESTRING(-3.8138604 34.9704451, -3.8138486 34.9696704, -3.8138319 34.9691738, -3.813825 34.9690321, -3.8138231 34.9686659, -3.8138062 34.9681949, -3.8137863 34.9673396, -3.8137863 34.9672174, -3.8137997 34.9670449, -3.8138003 34.9669431, -3.8138384 34.9667303, -3.8138845 34.9665092, -3.8139376 34.966314, -3.8140135 34.9660791, -3.8140543 34.9659529, -3.8140988 34.9658252, -3.81416 34.9655884)","{""highway"": ""trunk"", ""lanes"": ""2"", ""maxspeed"": ""60"", ""old_ref"": ""N2"", ""oneway"": ""yes"", ""ref"": ""RN2"", ""surface"": ""asphalt""}"
