
osm_id,osm_type,commune_code
183172644,way,MA-01-051-1101
185717947,way,MA-01-051-0925
185717947,way,MA-01-051-0901
195802451,way,MA-01-051-0101
195802452,way,MA-01-051-0101
195802453,way,MA-01-051-0101
195802454,way,MA-01-051-0101
233072521,way,MA-01-051-1313
233072523,way,MA-01-051-1313
235240222,way,MA-01-051-0303
235240226,way,MA-01-051-0303
235240227,way,MA-01-051-0303
264030336,way,MA-01-051-1313
271947745,way,MA-01-051-0101
271947747,way,MA-01-051-0101
288666412,way,MA-01-051-0705
289347908,way,MA-01-051-1319
289807043,way,MA-01-051-1115
289807052,way,MA-01-051-0719
289807059,way,MA-01-051-1115
289807070,way,MA-01-051-0719
291949637,way,MA-01-051-0915
298447335,way,MA-01-051-1319
298447345,way,MA-01-051-0103
298447346,way,MA-01-051-0105
298447360,way,MA-01-051-0105
298447362,way,MA-01-051-0103
298447365,way,MA-01-051-0103
298447365,way,MA-01-051-0105
298447367,way,MA-01-051-0105
298447377,way,MA-01-051-0105
298447379,way,MA-01-051-0103
298447380,way,MA-01-051-0105
298447381,way,MA-01-051-0105
298447382,way,MA-01-051-0105
298447384,way,MA-01-051-0103
298447392,way,MA-01-051-0105
307911604,way,MA-01-051-0101
308255550,way,MA-01-051-1305
308255587,way,MA-01-051-1305
308255587,way,MA-01-051-1323
308287314,way,MA-01-051-0107
308287327,way,MA-01-051-0719
308287327,way,MA-01-051-0107
308288205,way,MA-01-051-0107
308288206,way,MA-01-051-0719
308288206,way,MA-01-051-0107
308298588,way,MA-01-051-0301
308298589,way,MA-01-051-0301
308299067,way,MA-01-051-0719
309801979,way,MA-01-051-1115
309801985,way,MA-01-051-1115
335241499,way,MA-01-051-1115
353284924,way,MA-01-051-1319
385147017,way,MA-01-051-1313
386725696,way,MA-01-051-0301
386725700,way,MA-01-051-0301
386725700,way,MA-01-051-0307
404927129,way,MA-01-051-1101
404927139,way,MA-01-051-1101
404927144,way,MA-01-051-1101
404927147,way,MA-01-051-1101
407044624,way,MA-01-051-1319
407044633,way,MA-01-051-1319
408505728,way,MA-01-051-0105
449286210,way,MA-01-051-0303
449286219,way,MA-01-051-0301
449286219,way,MA-01-051-0303
502948358,way,MA-01-051-1115
555023096,way,MA-01-051-1319
555023104,way,MA-01-051-1319
555555645,way,MA-01-051-1125
555555683,way,MA-01-051-1125
557844928,way,MA-01-051-1319
557844931,way,MA-01-051-1319
586358867,way,MA-01-051-0105
586358871,way,MA-01-051-0105
586358875,way,MA-01-051-0105
586358878,way,MA-01-051-0105
586358943,way,MA-01-051-0105
586358944,way,MA-01-051-0105
586358945,way,MA-01-051-0105
586358946,way,MA-01-051-0105
586358947,way,MA-01-051-0105
586358948,way,MA-01-051-0105
586359003,way,MA-01-051-1317
586359003,way,MA-01-051-0103
586359008,way,MA-01-051-1317
586359015,way,MA-01-051-1317
586359019,way,MA-01-051-1317
586359024,way,MA-01-051-1313
586359122,way,MA-01-051-0103
586359123,way,MA-01-051-0103
586359125,way,MA-01-051-0103
586359126,way,MA-01-051-0103
586365158,way,MA-01-051-0105
586365206,way,MA-01-051-0105
586365207,way,MA-01-051-0105
586365208,way,MA-01-051-0105
586365209,way,MA-01-051-0105
586365210,way,MA-01-051-0105
586365211,way,MA-01-051-0105
586365213,way,MA-01-051-0105
586365214,way,MA-01-051-0105
586365215,way,MA-01-051-0105
586415638,way,MA-01-051-0103
586415639,way,MA-01-051-0103
586415671,way,MA-01-051-1319
586415672,way,MA-01-051-1319
586415673,way,MA-01-051-1319
586415674,way,MA-01-051-1319
586415675,way,MA-01-051-1319
586415676,way,MA-01-051-1319
586415677,way,MA-01-051-0719
586415679,way,MA-01-051-0719
586415680,way,MA-01-051-0719
586415681,way,MA-01-051-0719
586415681,way,MA-01-051-0705
586415682,way,MA-01-051-0705
586415683,way,MA-01-051-0705
586415684,way,MA-01-051-0705
586415685,way,MA-01-051-0705
586415686,way,MA-01-051-0721
586415687,way,MA-01-051-0705
586415687,way,MA-01-051-0721
586415688,way,MA-01-051-0705
586415689,way,MA-01-051-0705
586415690,way,MA-01-051-1125
586415691,way,MA-01-051-1125
586415691,way,MA-01-051-0721
586415692,way,MA-01-051-0721
586415693,way,MA-01-051-0721
586415694,way,MA-01-051-1305
586415694,way,MA-01-051-1323
586415699,way,MA-01-051-1311
586415703,way,MA-01-051-1311
586415704,way,MA-01-051-1311
586415705,way,MA-01-051-1311
586415706,way,MA-01-051-1311
586415707,way,MA-01-051-1311
586415708,way,MA-01-051-1311
586415709,way,MA-01-051-1125
586415709,way,MA-01-051-1311
586415710,way,MA-01-051-1125
586415713,way,MA-01-051-1125
586415716,way,MA-01-051-1305
586415717,way,MA-01-051-1305
586415718,way,MA-01-051-1305
586415719,way,MA-01-051-1305
586415720,way,MA-01-051-1305
586415721,way,MA-01-051-1305
586415722,way,MA-01-051-1305
586415724,way,MA-01-051-1305
586415726,way,MA-01-051-1305
586415726,way,MA-01-051-1319
586415727,way,MA-01-051-1305
586415727,way,MA-01-051-1319
586415728,way,MA-01-051-1305
586415729,way,MA-01-051-1305
586415733,way,MA-01-051-1319
586415742,way,MA-01-051-1305
586421583,way,MA-01-051-0719
586424908,way,MA-01-051-0301
588996349,way,MA-01-051-0105
589015058,way,MA-01-051-0101
589015059,way,MA-01-051-1115
589015060,way,MA-01-051-1115
590208561,way,MA-01-051-0105
590293705,way,MA-01-051-1319
590293707,way,MA-01-051-1319
590293712,way,MA-01-051-1319
601761561,way,MA-01-051-0105
601811904,way,MA-01-051-1115
601811906,way,MA-01-051-1115
601822144,way,MA-01-051-0101
601822146,way,MA-01-051-0101
601834974,way,MA-01-051-1115
602181396,way,MA-01-051-1115
602181396,way,MA-01-051-0101
602219917,way,MA-01-051-1115
602219918,way,MA-01-051-1115
602219919,way,MA-01-051-1115
602219920,way,MA-01-051-1115
602219921,way,MA-01-051-1115
602219922,way,MA-01-051-1115
602275728,way,MA-01-051-0103
602623297,way,MA-01-051-1319
602623298,way,MA-01-051-1319
602623299,way,MA-01-051-1319
602623300,way,MA-01-051-1319
602623302,way,MA-01-051-1319
602623306,way,MA-01-051-0103
602623309,way,MA-01-051-1319
602623309,way,MA-01-051-0103
602623313,way,MA-01-051-0103
602623314,way,MA-01-051-1319
602623314,way,MA-01-051-0103
602684261,way,MA-01-051-1319
602684262,way,MA-01-051-1319
602684271,way,MA-01-051-1319
627678447,way,MA-01-051-0107
627678448,way,MA-01-051-0719
627678449,way,MA-01-051-0107
636393474,way,MA-01-051-0101
636393477,way,MA-01-051-0101
660060602,way,MA-01-051-0101
660060605,way,MA-01-051-1115
660060605,way,MA-01-051-0101
660060607,way,MA-01-051-0101
689556678,way,MA-01-051-1121
689556679,way,MA-01-051-1121
706238003,way,MA-01-051-0711
706238015,way,MA-01-051-0711
711247380,way,MA-01-051-0101
717016902,way,MA-01-051-1115
717629054,way,MA-01-051-1319
717629056,way,MA-01-051-1319
717629062,way,MA-01-051-1319
722240588,way,MA-01-051-0105
722240589,way,MA-01-051-0105
722986805,way,MA-01-051-1319
722986809,way,MA-01-051-1319
728089808,way,MA-01-051-0719
728089809,way,MA-01-051-0719
728109654,way,MA-01-051-0719
730967478,way,MA-01-051-0913
730967479,way,MA-01-051-0913
730967480,way,MA-01-051-0913
730967480,way,MA-01-051-0915
730967481,way,MA-01-051-0915
732791586,way,MA-01-051-0105
732791587,way,MA-01-051-0103
732976085,way,MA-01-051-0307
732976086,way,MA-01-051-0307
733330872,way,MA-01-051-0301
733330873,way,MA-01-051-0301
733330874,way,MA-01-051-0301
733330875,way,MA-01-051-0301
733334683,way,MA-01-051-0301
733334684,way,MA-01-051-0301
733334685,way,MA-01-051-0301
733334686,way,MA-01-051-0301
733334687,way,MA-01-051-0301
733334688,way,MA-01-051-0301
733336133,way,MA-01-051-0105
733336134,way,MA-01-051-0105
733336135,way,MA-01-051-0105
733336136,way,MA-01-051-0105
733577426,way,MA-01-051-0301
733577427,way,MA-01-051-0301
733682446,way,MA-01-051-0721
733682447,way,MA-01-051-0721
734321178,way,MA-01-051-0909
734321179,way,MA-01-051-0909
734367729,way,MA-01-051-0303
734367730,way,MA-01-051-0303
734374403,way,MA-01-051-1101
734374404,way,MA-01-051-1101
734385675,way,MA-01-051-0303
734385676,way,MA-01-051-0303
734387848,way,MA-01-051-1319
734528747,way,MA-01-051-0705
734528748,way,MA-01-051-0705
734644845,way,MA-01-051-0913
734644846,way,MA-01-051-0913
734644847,way,MA-01-051-0913
734644848,way,MA-01-051-0913
734644849,way,MA-01-051-0913
734644850,way,MA-01-051-0913
734644851,way,MA-01-051-0913
734644852,way,MA-01-051-0913
734773076,way,MA-01-051-1317
735247397,way,MA-01-051-0719
736395712,way,MA-01-051-0107
736555387,way,MA-01-051-0105
737353445,way,MA-01-051-1115
737353446,way,MA-01-051-1115
737353447,way,MA-01-051-1115
737353448,way,MA-01-051-1115
737353449,way,MA-01-051-1115
737353450,way,MA-01-051-1101
737353450,way,MA-01-051-1115
737765332,way,MA-01-051-1319
737765333,way,MA-01-051-1319
737765334,way,MA-01-051-1319
737765335,way,MA-01-051-1319
738159680,way,MA-01-051-0301
738159681,way,MA-01-051-0301
738159682,way,MA-01-051-0301
738159683,way,MA-01-051-0301
738159684,way,MA-01-051-0301
738159685,way,MA-01-051-1101
738159686,way,MA-01-051-1101
738159687,way,MA-01-051-1101
738159688,way,MA-01-051-1101
738159689,way,MA-01-051-1101
738159690,way,MA-01-051-1101
738159691,way,MA-01-051-1101
738159692,way,MA-01-051-1101
738425817,way,MA-01-051-1101
738425818,way,MA-01-051-1101
890250914,way,MA-01-051-0301
890250915,way,MA-01-051-0301
890250918,way,MA-01-051-0301
890250919,way,MA-01-051-0301
890250920,way,MA-01-051-0301
890250922,way,MA-01-051-0301
890250924,way,MA-01-051-0301
890250925,way,MA-01-051-0301
1057720266,way,MA-01-051-1115
1059389914,way,MA-01-051-1115
1059389915,way,MA-01-051-1115
1107229918,way,MA-01-051-0301
1116634517,way,MA-01-051-1319
1116634518,way,MA-01-051-1319
1116634519,way,MA-01-051-1319
1116634520,way,MA-01-051-1319
1116634521,way,MA-01-051-1319
1116634522,way,MA-01-051-1319
1116634523,way,MA-01-051-1319
1116634524,way,MA-01-051-1319
1116634525,way,MA-01-051-1319
1138180197,way,MA-01-051-0719
1138180198,way,MA-01-051-0719
1138605710,way,MA-01-051-0719
1138605711,way,MA-01-051-0719
1156550728,way,MA-01-051-1101
1156550733,way,MA-01-051-1101
1156550734,way,MA-01-051-1101
1156550735,way,MA-01-051-1101
1157973175,way,MA-01-051-0301
1157973176,way,MA-01-051-0301
1213997928,way,MA-01-051-0101
1240388151,way,MA-01-051-0101
1240388157,way,MA-01-051-0101
1240409633,way,MA-01-051-0101
1249993681,way,MA-01-051-1101
1249993682,way,MA-01-051-1101
1253276803,way,MA-01-051-1115
1253276803,way,MA-01-051-0101
1253276806,way,MA-01-051-1101
1253276807,way,MA-01-051-1101
1253276808,way,MA-01-051-1101
1253276809,way,MA-01-051-1101
1253276810,way,MA-01-051-1101
1332525491,way,MA-01-051-0719
1332525492,way,MA-01-051-0719
1332536531,way,MA-01-051-0101
1396807606,way,MA-01-051-0101
1396807607,way,MA-01-051-0101
1429564164,way,MA-01-051-1317
1434607078,way,MA-01-051-0105
1434607079,way,MA-01-051-0105
1434607080,way,MA-01-051-0105
1434609470,way,MA-01-051-0105
1434609471,way,MA-01-051-0105
1434609472,way,MA-01-051-0105
1434609473,way,MA-01-051-0105
1434803260,way,MA-01-051-0105
1459060197,way,MA-01-051-1101
1459060198,way,MA-01-051-1101
1459060200,way,MA-01-051-1101
1459060201,way,MA-01-051-1101
1459060202,way,MA-01-051-1101
1459060203,way,MA-01-051-1101
1489451891,way,MA-01-051-0105
1489451892,way,MA-01-051-0105
1489451893,way,MA-01-051-0105
1489451894,way,MA-01-051-0105
1489451895,way,MA-01-051-0105
1489461293,way,MA-01-051-1115
1489461294,way,MA-01-051-1115
1489461295,way,MA-01-051-1115
1489461296,way,MA-01-051-1115
1489461297,way,MA-01-051-1115
