report_title,report_url,pdf_filename,page_number,row_number,code_rayon_d_action,credit_montant,credit_percent,depots_montant,depots_percent,nombre_guichets,periode,rayon_d_action
Répartition par rayon d'action des dépôts et crédits 02-2026,https://www.bkam.ma/content/download/846706/9157395/Répartition par région  des dépôts et crédits 02-2026.pdf,Répartition par région  des dépôts et crédits 02-2026.pdf,1,20,96,7821206,0.65,29120857,2.14,132,02-2026,TETOUAN
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,1,8,43213950,3.56,85817498,6.29,458,01-2026,AGADIR
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,2,12,1448927,0.12,12143565,0.89,58,01-2026,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,3,16,9830825,0.81,48495366,3.55,233,01-2026,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,4,25,793659052,65.37,468519587,34.34,1219,01-2026,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,5,28,8197837,0.68,16449833,1.21,100,01-2026,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,6,30,11683523,0.96,22668976,1.66,137,01-2026,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,7,35,21936065,1.81,56814405,4.16,333,01-2026,FES
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,8,45,15111810,1.24,31337974,2.3,164,01-2026,KENITRA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,9,55,4978358,0.41,13426041,0.98,63,01-2026,LARACHE
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,10,60,35658803,2.94,83467745,6.12,363,01-2026,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,11,63,25262439,2.08,58074495,4.26,375,01-2026,MEKNES
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,12,66,6081572,0.5,53415670,3.92,180,01-2026,NADOR
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,13,70,1869317,0.15,10312011,0.76,68,01-2026,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,14,73,13796501,1.14,52606045,3.86,277,01-2026,OUJDA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,15,78,168630149,13.89,199022445,14.59,587,01-2026,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,16,80,7084086,0.58,17467422,1.28,109,01-2026,SAFI
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,17,83,8676187,0.71,21226807,1.56,133,01-2026,SETTAT
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,18,86,25511637,2.1,67893205,4.98,249,01-2026,TANGER
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,19,88,3661810,0.3,16188477,1.19,94,01-2026,TAZA
Répartition par rayon d'action des dépôts et crédits 01-2026,https://www.bkam.ma/content/download/846705/9157393/Répartition par région  des dépôts et crédits 01-2026.pdf,Répartition par région  des dépôts et crédits 01-2026.pdf,1,20,96,7789381,0.64,29002338,2.13,132,01-2026,TETOUAN
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,1,8,44647378,3.58,86373132,6.3,457,12-2025,AGADIR
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,2,12,1492476,0.12,12165836,0.89,58,12-2025,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,3,16,9940914,0.8,48231419,3.52,233,12-2025,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,4,25,806123414,64.7,478196086,34.88,1219,12-2025,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,5,28,12204801,0.98,15968056,1.16,100,12-2025,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,6,30,11743620,0.94,22585805,1.65,137,12-2025,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,7,35,22157395,1.78,56547669,4.12,333,12-2025,FES
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,8,45,15021527,1.21,31146966,2.27,164,12-2025,KENITRA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,9,55,5006175,0.4,13503298,0.98,63,12-2025,LARACHE
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,10,60,36194967,2.9,84557126,6.17,363,12-2025,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,11,63,25793795,2.07,57658514,4.21,375,12-2025,MEKNES
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,12,66,6050017,0.49,52961617,3.86,180,12-2025,NADOR
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,13,70,1884224,0.15,10146987,0.74,68,12-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,14,73,13905314,1.12,52507357,3.83,277,12-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,15,78,180920072,14.52,197442269,14.4,587,12-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,16,80,7176298,0.58,17716157,1.29,109,12-2025,SAFI
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,17,83,8768595,0.7,21005529,1.53,133,12-2025,SETTAT
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,18,86,25481980,2.05,67436873,4.92,249,12-2025,TANGER
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,19,88,3662177,0.29,16061385,1.17,94,12-2025,TAZA
Répartition par rayon d'action des dépôts et crédits 12-2025,https://www.bkam.ma/content/download/839596/9109241/Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,Répartition par rayon d'action des dépôts et crédits 12 2025.pdf,1,20,96,7811552,0.63,28753923,2.1,132,12-2025,TETOUAN
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,1,8,42455629,3.61,83921104,6.32,457,11-2025,AGADIR
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,2,12,1459787,0.12,12061609,0.91,58,11-2025,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,3,16,9972703,0.85,47505862,3.58,233,11-2025,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,4,25,747477052,63.55,450615658,33.91,1220,11-2025,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,5,28,12090826,1.03,15726071,1.18,100,11-2025,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,6,30,11754076,1.0,22280374,1.68,137,11-2025,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,7,35,22994702,1.95,55596230,4.18,336,11-2025,FES
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,8,45,14829125,1.26,30489831,2.29,166,11-2025,KENITRA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,9,55,4898553,0.42,13436840,1.01,63,11-2025,LARACHE
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,10,60,35518246,3.02,81748157,6.15,361,11-2025,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,11,63,25688683,2.18,57095412,4.3,378,11-2025,MEKNES
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,12,66,5988604,0.51,52613509,3.96,179,11-2025,NADOR
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,13,70,1872367,0.16,9973866,0.75,68,11-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,14,73,13810488,1.17,51901884,3.91,279,11-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,15,78,172765849,14.69,194700094,14.65,588,11-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,16,80,7090905,0.6,17165362,1.29,109,11-2025,SAFI
