report_title,report_url,pdf_filename,page_number,row_number,Code localité,Localité,Montant des crédits,Montant des dépôts,Nombre Guichets,periode
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,10,380,KHENIFRA,967812,2948032,24,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,11,335,KHNICHET,64926,277001,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,12,400,KHOURIBGA,2305450,13167740,50,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,13,731,KSAR EL KEBIR,913300,3727418,16,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,14,647,KSAR SEGHIR,62365,315951,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,15,182,LAAOUNATE,64488,187575,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,16,194,LAATTAOUIA,197934,1216404,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,17,430,LAAYOUNE,9050164,8927620,53,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,18,356,LALLA MIMOUNA,105624,528873,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,19,735,LARACHE,3098627,7371462,25,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,20,187,LOUALIDIA,87938,401593,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,21,453,LOUDAYA,50266,212905,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,22,620,LOULAD,31658,437764,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,23,18,LQLIAA,65802,393970,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,24,450,MARRAKECH,32459906,71393538,267,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,25,727,MARTIL,588527,2238749,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,26,15,MASSA,60903,597077,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,27,728,M'DIQ,334815,1538414,9,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,28,336,MECHRA BEL KSIRI,272273,1055474,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,29,793,MEDIOUNA,266881,1376834,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,30,480,MEKNES,17181612,31511686,158,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,31,524,MIDAR,73178,2682218,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,32,391,MIDELT,521270,1406808,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,33,144,MISSOUR,211626,676778,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,34,787,MOHAMMEDIA,8788649,15325818,67,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,35,171,MOULAY ABDELLAH,54969,245887,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,36,331,MOULAY BOUSELHAM,140724,685187,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,37,388,M'RIRT,200808,784831,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,38,500,NADOR,4676276,24649374,76,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,39,794,NOUACEUR,654774,1336668,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,40,84,OUAOUIZARTH,35811,187276,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,41,550,OUARZAZATE,1056464,3669466,26,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,42,341,OUAZZANE,812336,1880600,13,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,43,695,OUED AMLIL,150971,820117,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,44,729,OUED LAOU,51718,308106,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,45,411,OUED ZEM,731783,3434305,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,46,570,OUJDA,9381557,28516207,151,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,47,623,OULAD ABBOU,78594,289559,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,48,100,OULAD AYAD,57279,488931,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,49,45,OULAD BERHIL,106533,788157,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,50,185,OULAD FREJ,117887,510397,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",3,51,795,OULAD SALAH,279042,374880,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,1,28,OULAD TEIMA,1055154,3323433,13,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,2,91,OULED MBAREK,57526,214343,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,3,92,OULED YAICHE,39529,498329,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,4,365,OULMES,86092,275227,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,5,476,OURIKA,30014,310452,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,6,146,OUTAT EL HAJ,127488,480070,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,7,810,RABAT,145656461,151655320,271,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,8,714,RIBAT EL KHEIR,55190,222232,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,9,231,RICH,139096,829352,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,10,235,RISSANI,61415,715562,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,11,368,ROMMANI,831137,455432,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,12,494,SABAA AIYOUN,74517,455826,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,13,590,SAFI,5157873,10261757,54,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,14,579,SAIDIA,154512,806958,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,15,815,SALE,10378498,22463952,134,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,16,593,SEBT GZOULA,123307,369350,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,17,95,SEBT OULAD NEMMA,533684,2835655,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,18,281,SEFROU,1131605,3382358,21,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,19,512,SELOUANE,199708,1648694,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,20,610,SETTAT,2279287,7119187,36,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,21,376,SIDI ALLAL EL BAHRAOUI,204711,539988,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,22,340,SIDI ALLAL TAZI,112703,326155,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,23,179,SIDI BENNOUR,940641,2192769,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,24,32,SIDI BIBI,145191,801457,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,25,824,SIDI BOUKNADEL,107088,379858,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,26,619,SIDI HAJJAJ,76668,622069,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,27,346,SIDI KACEM,1148052,2519994,15,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,28,625,SIDI RAHAL CHATAI,78043,490203,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,29,349,SIDI SLIMANE,1090017,3637646,18,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,30,184,SIDI SMAIL,113642,349112,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,31,332,SIDI YAHIA EL GHARB,344174,736027,7,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,32,821,SKHIRATE,1448433,2120152,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,33,204,SKHOUR RHAMNA,51801,155177,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,34,629,SOUALAM TRIFIA,573476,984671,7,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,35,353,SOUK ARBAA EL RHARB,423068,1796644,9,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,36,528,TAFERSIT,10599,387049,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,37,765,TAFRAOUTE,62326,312248,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,38,475,TAHANNAOUT,123940,360062,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,39,711,TAHLA,196491,660254,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,40,561,TALIOUINE,55643,299522,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,41,207,TAMALLALT,79682,313801,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,42,820,TAMESNA,171455,246754,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,43,525,TAMSAMANE,27984,1135471,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,44,650,TAN TAN,408969,1380364,12,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,45,640,TANGER,25085125,64814294,231,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,46,660,TAOUNATE,523133,1838535,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,47,585,TAOURIRT,595885,3855696,16,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,48,437,TARFAYA,92296,180324,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,49,61,TARGUIST,90646,820952,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,50,41,TAROUDANNT,3099249,3927520,20,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",4,51,680,TATA,204382,477288,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",5,1,690,TAZA,2412579,9192800,42,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",5,2,569,TAZARINE,24450,223186,3,02-2026
